AsOfDate,Company,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GLBalance,iHUbBalance,BalanceDifference,MatchStatus
2023-01-13,00001,5263626,6182,ALL,Principal,Principal,114799,38202,76597,Break
2023-01-16,00003,9380852,1208,ISO-4217,Principal,Principal,75688,36732,38956,Break
2023-01-05,00006,5707391,6578,EUR,Deferred Costs,Deferred Costs,113187,100178,13009,Break
2023-01-28,00003,3651308,4643,EUR,Deferred Costs,Principal,98068,96933,1135,Break
2023-01-15,00002,5884133,1472,ISO-4217,Principal,Deferred Costs,109469,109524,-55,Break
2023-01-25,00004,1950914,3572,ISO-4217,Principal,Deferred Costs,70632,116397,-45765,Break
2023-01-04,00006,3450891,2511,AFN,Deferred Costs,Deferred Costs,42388,115766,-73378,Break
2023-01-05,00003,5612813,1654,EUR,Deferred Costs,Principal,95840,72737,23103,Break
2023-01-29,00005,1129026,3056,AFN,Principal,Principal,118814,65647,53167,Break
2023-01-30,00004,3736734,6739,ALL,Deferred Costs,Deferred Costs,113421,100723,12698,Break
2023-01-22,00006,7739052,3219,AFN,Principal,Deferred Costs,54695,72102,-17407,Break
2023-01-12,00006,8268053,4852,EUR,Deferred Costs,Principal,34214,79751,-45537,Break
2023-01-19,00005,4439248,4363,EUR,Deferred Costs,Deferred Costs,34324,111162,-76838,Break
2023-01-09,00003,6679619,4338,USD,Principal,Principal,44317,48138,-3821,Break
2023-01-02,00006,5453850,6563,AFN,Deferred Costs,Deferred Costs,84613,86946,-2333,Break
2023-01-23,00001,1362172,6552,ALL,Principal,Principal,102194,84775,17419,Break
2023-01-28,00002,7987117,1335,ISO-4217,Deferred Costs,Principal,50604,59888,-9284,Break
2023-01-01,00004,2440310,6983,USD,Principal,Deferred Costs,83192,65640,17552,Break
2023-01-14,00001,8715536,6540,EUR,Principal,Deferred Costs,57357,113255,-55898,Break
2023-01-11,00005,9787683,1508,EUR,Principal,Deferred Costs,110310,42738,67572,Break
2023-01-08,00001,6633138,3526,INR,Principal,Deferred Costs,86880,32070,54810,Break
2023-01-22,00004,7178460,2285,INR,Deferred Costs,Principal,95157,93297,1860,Break
2023-01-09,00006,8616868,6017,ALL,Deferred Costs,Principal,87735,40043,47692,Break
2023-01-01,00002,4448017,3182,INR,Principal,Principal,103760,105387,-1627,Break
2023-01-10,00002,4439387,3760,ALL,Deferred Costs,Deferred Costs,42445,34784,7661,Break
2023-01-28,00005,3056533,5610,ISO-4217,Principal,Principal,69086,81255,-12169,Break
2023-01-18,00005,5864104,1626,EUR,Principal,Deferred Costs,97845,108949,-11104,Break
2023-01-08,00006,1210427,1183,EUR,Principal,Principal,60733,116592,-55859,Break
2023-01-15,00004,5832242,4614,AFN,Principal,Deferred Costs,118220,42105,76115,Break
2023-01-26,00002,5656622,1547,EUR,Deferred Costs,Deferred Costs,90646,91592,-946,Break
2023-01-06,00005,5744240,2752,EUR,Principal,Principal,36981,82486,-45505,Break
2023-01-24,00006,5784939,3304,INR,Deferred Costs,Principal,83961,91665,-7704,Break
2023-01-21,00001,7073105,3244,EUR,Principal,Principal,81657,38189,43468,Break
2023-01-10,00001,3142850,5890,ALL,Principal,Principal,79597,47604,31993,Break
2023-01-18,00003,4412313,5280,ISO-4217,Deferred Costs,Principal,111885,105167,6718,Break
2023-01-20,00005,4030495,1200,ALL,Principal,Deferred Costs,107908,95165,12743,Break
2023-01-17,00006,7395254,4406,ALL,Deferred Costs,Deferred Costs,118554,99329,19225,Break
2023-01-01,00004,7286119,5749,AFN,Deferred Costs,Principal,104708,50242,54466,Break
2023-01-14,00004,5229014,1198,INR,Principal,Principal,117249,101347,15902,Break
2023-01-07,00001,9044361,3759,ALL,Principal,Deferred Costs,111581,81083,30498,Break
2023-01-06,00004,6501851,6248,USD,Deferred Costs,Principal,39251,66222,-26971,Break
2023-01-17,00003,8560937,6357,ISO-4217,Deferred Costs,Principal,71605,114277,-42672,Break
2023-01-12,00001,1910556,1644,USD,Principal,Deferred Costs,84434,32862,51572,Break
2023-01-13,00005,4377484,5440,AFN,Principal,Principal,98120,67614,30506,Break
2023-01-19,00004,4859411,2763,ISO-4217,Principal,Principal,51321,34269,17052,Break
2023-01-25,00001,3438005,5508,USD,Principal,Deferred Costs,51219,104306,-53087,Break
2023-01-10,00004,3585030,3255,ISO-4217,Deferred Costs,Deferred Costs,46198,107984,-61786,Break
2023-01-03,00004,4889617,5673,ALL,Deferred Costs,Deferred Costs,43810,57110,-13300,Break
2023-01-01,00006,7197640,5536,AFN,Principal,Deferred Costs,112249,114553,-2304,Break
2023-01-04,00005,6618456,5126,ISO-4217,Deferred Costs,Principal,111825,119064,-7239,Break
2023-01-04,00001,8134266,6132,EUR,Principal,Deferred Costs,55307,69797,-14490,Break
2023-01-14,00003,6718935,4670,ISO-4217,Deferred Costs,Principal,55933,37343,18590,Break
2023-01-10,00002,8290716,5922,USD,Principal,Deferred Costs,112897,55723,57174,Break
2023-01-17,00003,7017617,4058,ISO-4217,Deferred Costs,Principal,62938,47954,14984,Break
2023-01-10,00002,5553069,5424,AFN,Deferred Costs,Principal,75043,31888,43155,Break
2023-01-16,00003,5562616,1471,EUR,Deferred Costs,Deferred Costs,60623,99887,-39264,Break
2023-01-14,00003,8011781,4785,USD,Principal,Deferred Costs,32081,79400,-47319,Break
2023-01-26,00006,8229063,3558,USD,Deferred Costs,Principal,97317,116170,-18853,Break
2023-01-24,00003,8845495,1166,EUR,Deferred Costs,Principal,118807,71173,47634,Break
2023-01-21,00002,1833231,1756,EUR,Deferred Costs,Principal,76518,43254,33264,Break
2023-01-26,00002,9599506,6104,INR,Deferred Costs,Principal,108890,100176,8714,Break
2023-01-18,00001,7775664,4819,USD,Deferred Costs,Principal,67393,69598,-2205,Break
2023-01-25,00006,9004758,2884,INR,Deferred Costs,Principal,94545,36369,58176,Break
2023-01-16,00003,5599012,4267,ISO-4217,Deferred Costs,Deferred Costs,96638,76590,20048,Break
2023-01-10,00006,7152503,1656,ISO-4217,Deferred Costs,Principal,33785,91337,-57552,Break
2023-01-05,00006,1426675,5837,AFN,Principal,Principal,97999,39177,58822,Break
2023-01-16,00004,6284454,4140,AFN,Principal,Deferred Costs,86677,53207,33470,Break
2023-01-23,00004,8136897,3846,AFN,Deferred Costs,Principal,118899,78824,40075,Break
2023-01-24,00004,9389447,4972,ISO-4217,Principal,Principal,115672,59044,56628,Break
2023-01-22,00003,4600479,4759,AFN,Deferred Costs,Principal,116304,100270,16034,Break
2023-01-01,00006,4318215,1450,INR,Principal,Deferred Costs,100003,74930,25073,Break
2023-01-13,00004,9075781,6477,ALL,Principal,Deferred Costs,98900,103086,-4186,Break
2023-01-22,00004,3802616,5946,USD,Principal,Principal,44536,62414,-17878,Break
2023-01-13,00002,5787578,1089,ALL,Principal,Deferred Costs,86943,40521,46422,Break
2023-01-06,00004,1360465,2549,INR,Deferred Costs,Deferred Costs,31173,84532,-53359,Break
2023-01-08,00003,6302847,6625,INR,Deferred Costs,Principal,51802,106356,-54554,Break
2023-01-01,00004,3033839,1276,USD,Principal,Deferred Costs,100018,85087,14931,Break
2023-01-26,00001,3673748,2199,ALL,Principal,Principal,104260,62604,41656,Break
2023-01-21,00004,2253369,1407,USD,Principal,Deferred Costs,78394,101712,-23318,Break
2023-01-25,00006,2884877,4745,USD,Deferred Costs,Principal,104228,114329,-10101,Break
2023-01-11,00002,6790739,3711,ALL,Principal,Principal,81396,82650,-1254,Break
2023-01-16,00006,2256272,6377,ISO-4217,Deferred Costs,Principal,46571,90734,-44163,Break
2023-01-15,00001,5054676,6556,ALL,Deferred Costs,Principal,32747,71935,-39188,Break
2023-01-14,00002,8270941,1404,ALL,Deferred Costs,Deferred Costs,59978,48746,11232,Break
2023-01-25,00001,6592069,4525,USD,Principal,Deferred Costs,112634,31376,81258,Break
2023-01-04,00006,6663982,3870,EUR,Deferred Costs,Principal,30288,89156,-58868,Break
2023-01-02,00002,9130106,6537,AFN,Principal,Principal,82322,32867,49455,Break
2023-01-25,00001,7100745,2723,USD,Deferred Costs,Principal,32993,63810,-30817,Break
2023-01-02,00001,2944771,5387,ALL,Principal,Principal,47701,118365,-70664,Break
2023-01-16,00001,3303809,5306,EUR,Principal,Principal,31207,35926,-4719,Break
2023-01-01,00006,2860808,6885,USD,Principal,Deferred Costs,41469,102297,-60828,Break
2023-01-29,00004,9007175,3261,USD,Principal,Principal,107558,33213,74345,Break
2023-01-07,00006,2275842,4493,ALL,Deferred Costs,Deferred Costs,119831,87816,32015,Break
2023-01-07,00005,4198335,1158,USD,Deferred Costs,Principal,67748,68762,-1014,Break
2023-01-30,00001,4034687,5971,USD,Principal,Principal,106944,36997,69947,Break
2023-01-23,00006,7713445,5404,USD,Principal,Principal,82447,119360,-36913,Break
2023-01-17,00003,8089462,2058,ISO-4217,Principal,Principal,93117,68479,24638,Break
2023-01-09,00006,9611980,3836,INR,Deferred Costs,Principal,82929,119301,-36372,Break
2023-01-09,00001,5800699,4243,AFN,Deferred Costs,Deferred Costs,56834,73662,-16828,Break
2023-01-26,00002,3123732,2972,EUR,Principal,Principal,74550,82058,-7508,Break
2023-01-01,00006,8140728,4335,INR,Deferred Costs,Principal,52634,86986,-34352,Break
2023-01-05,00003,3790088,6021,USD,Deferred Costs,Deferred Costs,37200,38706,-1506,Break
2023-01-21,00003,6935631,6193,INR,Deferred Costs,Principal,79376,115184,-35808,Break
2023-01-24,00001,6918214,5284,INR,Deferred Costs,Deferred Costs,47119,90125,-43006,Break
2023-01-15,00002,9003533,5538,EUR,Principal,Deferred Costs,47602,52045,-4443,Break
2023-01-05,00004,6090165,4308,AFN,Deferred Costs,Deferred Costs,31916,118544,-86628,Break
2023-01-18,00004,4505384,2011,ALL,Deferred Costs,Deferred Costs,119721,90120,29601,Break
2023-01-20,00001,9599385,3241,INR,Principal,Principal,102555,98860,3695,Break
2023-01-21,00006,6321489,2356,ISO-4217,Principal,Principal,57603,62103,-4500,Break
2023-01-02,00003,6120150,3848,INR,Deferred Costs,Deferred Costs,91342,98883,-7541,Break
2023-01-02,00001,5706953,1923,USD,Principal,Principal,48228,34702,13526,Break
2023-01-06,00006,6650203,4596,ISO-4217,Deferred Costs,Principal,114035,47851,66184,Break
2023-01-30,00003,4410402,3852,ALL,Principal,Principal,31138,60799,-29661,Break
2023-01-24,00002,2932649,5590,ISO-4217,Principal,Deferred Costs,96049,91153,4896,Break
2023-01-15,00005,3760298,6690,AFN,Principal,Deferred Costs,39704,30334,9370,Break
2023-01-05,00002,4577999,3111,INR,Deferred Costs,Deferred Costs,75428,90456,-15028,Break
2023-01-26,00004,8550661,1637,ALL,Principal,Deferred Costs,73031,84812,-11781,Break
2023-01-30,00001,7348653,6324,USD,Principal,Principal,38750,47509,-8759,Break
2023-01-01,00001,6177213,6636,INR,Principal,Principal,70318,35717,34601,Break
2023-01-04,00003,1757153,6125,ALL,Principal,Deferred Costs,88392,72460,15932,Break
2023-01-02,00003,3312241,4497,AFN,Deferred Costs,Deferred Costs,117123,44749,72374,Break
2023-01-02,00001,3055558,1450,INR,Principal,Deferred Costs,68607,80473,-11866,Break
2023-01-07,00001,7520793,3203,AFN,Principal,Deferred Costs,85567,36368,49199,Break
2023-01-10,00003,7054265,4796,ALL,Deferred Costs,Principal,85324,32863,52461,Break
2023-01-20,00006,2338476,2847,EUR,Principal,Deferred Costs,91238,111162,-19924,Break
2023-01-27,00006,8814349,3511,ISO-4217,Deferred Costs,Deferred Costs,88825,60480,28345,Break
2023-01-12,00001,9580801,2109,INR,Principal,Principal,66527,85370,-18843,Break
2023-01-10,00002,8006919,6615,INR,Deferred Costs,Principal,115261,89115,26146,Break
2023-01-03,00005,6775849,5996,ISO-4217,Principal,Principal,66728,56243,10485,Break
2023-01-24,00002,4129414,1092,EUR,Deferred Costs,Deferred Costs,94443,75978,18465,Break
2023-01-22,00002,7910149,2983,USD,Principal,Principal,95286,63774,31512,Break
2023-01-17,00003,7965183,4356,ALL,Principal,Deferred Costs,114667,71749,42918,Break
2023-01-15,00003,3709739,2549,ALL,Deferred Costs,Deferred Costs,119534,119244,290,Break
2023-01-15,00004,5102311,6686,ALL,Deferred Costs,Principal,45885,75428,-29543,Break
2023-01-06,00001,5884493,6152,ALL,Deferred Costs,Principal,73715,79322,-5607,Break
2023-01-09,00003,8116145,5292,USD,Deferred Costs,Deferred Costs,35838,72526,-36688,Break
2023-01-04,00002,9873419,4310,USD,Principal,Deferred Costs,85100,31031,54069,Break
2023-01-19,00001,7433328,4966,INR,Deferred Costs,Deferred Costs,45750,109900,-64150,Break
2023-01-09,00005,7049591,1314,AFN,Deferred Costs,Principal,104523,51579,52944,Break
2023-01-18,00005,2566415,1034,EUR,Deferred Costs,Deferred Costs,52038,47818,4220,Break
2023-01-19,00001,6334014,2209,ALL,Deferred Costs,Principal,119580,56704,62876,Break
2023-01-03,00003,7322847,1849,AFN,Deferred Costs,Deferred Costs,46902,68627,-21725,Break
2023-01-21,00003,6225401,5140,INR,Principal,Principal,101443,31546,69897,Break
2023-01-03,00002,9019781,3659,USD,Principal,Principal,70639,103226,-32587,Break
2023-01-17,00001,3751714,6390,EUR,Principal,Deferred Costs,62946,32220,30726,Break
2023-01-12,00002,3733981,1229,AFN,Deferred Costs,Deferred Costs,91889,91791,98,Break
2023-01-21,00002,4244454,3271,AFN,Deferred Costs,Principal,42070,43069,-999,Break
2023-01-25,00002,9063528,2381,EUR,Principal,Deferred Costs,76902,53505,23397,Break
2023-01-28,00002,1852565,5829,USD,Deferred Costs,Deferred Costs,30129,51905,-21776,Break
2023-01-23,00002,1381315,6183,ALL,Deferred Costs,Principal,66310,116258,-49948,Break
2023-01-21,00005,5364803,6380,ISO-4217,Principal,Principal,46855,50960,-4105,Break
2023-01-15,00003,6075514,5894,ISO-4217,Deferred Costs,Deferred Costs,66910,57320,9590,Break
2023-01-12,00004,5327169,4894,USD,Principal,Deferred Costs,39614,39051,563,Break
2023-01-12,00003,8861670,6756,AFN,Deferred Costs,Principal,108966,112209,-3243,Break
2023-01-07,00003,5268235,6362,AFN,Principal,Principal,117572,72450,45122,Break
2023-01-05,00002,6035726,5696,AFN,Principal,Principal,101602,38410,63192,Break
2023-01-24,00002,9868792,2913,USD,Principal,Principal,53862,110073,-56211,Break
2023-01-13,00005,8249611,6941,INR,Principal,Principal,79366,33991,45375,Break
2023-01-21,00004,8509901,5841,INR,Principal,Principal,85554,55178,30376,Break
2023-01-24,00003,7667650,6667,AFN,Deferred Costs,Principal,102077,71399,30678,Break
2023-01-19,00003,2925512,2027,INR,Principal,Deferred Costs,86392,56349,30043,Break
2023-01-24,00005,6392520,1408,ALL,Deferred Costs,Deferred Costs,84285,98091,-13806,Break
2023-01-18,00005,9805377,5043,EUR,Principal,Deferred Costs,53855,111754,-57899,Break
2023-01-16,00006,2331878,5493,ALL,Deferred Costs,Principal,114952,97880,17072,Break
2023-01-13,00006,7486491,3715,ISO-4217,Principal,Deferred Costs,111725,35145,76580,Break
2023-01-01,00002,3903544,6084,ALL,Deferred Costs,Deferred Costs,64396,30867,33529,Break
2023-01-12,00006,3174879,6358,USD,Principal,Principal,90357,33717,56640,Break
2023-01-30,00001,8234555,4472,ALL,Principal,Deferred Costs,105868,119318,-13450,Break
2023-01-22,00003,5698374,4181,EUR,Deferred Costs,Principal,86428,32101,54327,Break
2023-01-01,00003,3974365,4557,USD,Principal,Principal,101235,57513,43722,Break
2023-01-25,00006,4818596,4355,ALL,Deferred Costs,Deferred Costs,115678,103042,12636,Break
2023-01-19,00006,3614308,4282,EUR,Principal,Deferred Costs,32046,98719,-66673,Break
2023-01-22,00004,5742847,5249,INR,Principal,Deferred Costs,59571,72609,-13038,Break
2023-01-10,00006,5333201,3994,INR,Deferred Costs,Deferred Costs,104557,89054,15503,Break
2023-01-26,00005,2126551,3966,ALL,Deferred Costs,Principal,76613,75881,732,Break
2023-01-18,00003,8481164,5340,ALL,Deferred Costs,Deferred Costs,90896,96186,-5290,Break
2023-01-21,00006,4671408,2347,ALL,Deferred Costs,Principal,62502,105379,-42877,Break
2023-01-01,00005,5237701,4548,ALL,Principal,Deferred Costs,84684,59772,24912,Break
2023-01-14,00001,7120414,2222,USD,Principal,Deferred Costs,82136,90724,-8588,Break
2023-01-07,00004,4145388,1567,ISO-4217,Principal,Deferred Costs,56320,36713,19607,Break
2023-01-22,00006,5101794,5505,EUR,Principal,Deferred Costs,96895,63384,33511,Break
2023-01-13,00003,5564545,5480,ISO-4217,Principal,Deferred Costs,55744,58250,-2506,Break
2023-01-24,00005,3689481,6631,EUR,Deferred Costs,Principal,96192,53922,42270,Break
2023-01-02,00006,5241769,3050,INR,Deferred Costs,Deferred Costs,84325,77964,6361,Break
2023-01-04,00001,1378130,6547,EUR,Deferred Costs,Deferred Costs,31401,116555,-85154,Break
2023-01-24,00006,7548340,6891,EUR,Deferred Costs,Deferred Costs,117312,82660,34652,Break
2023-01-24,00006,5944623,5660,INR,Principal,Principal,113477,85312,28165,Break
2023-01-19,00004,6949334,2912,EUR,Principal,Deferred Costs,110061,43254,66807,Break
2023-01-22,00004,1152988,1897,INR,Principal,Deferred Costs,49347,79711,-30364,Break
2023-01-09,00005,9074517,1707,ALL,Principal,Deferred Costs,103997,113399,-9402,Break
2023-01-27,00003,1243229,1640,EUR,Deferred Costs,Principal,86951,77056,9895,Break
2023-01-09,00004,2796411,3073,ALL,Principal,Deferred Costs,57678,74871,-17193,Break
2023-01-13,00002,9329003,3730,ALL,Principal,Deferred Costs,112049,110770,1279,Break
2023-01-18,00003,9839423,3931,USD,Principal,Deferred Costs,46934,109524,-62590,Break
2023-01-11,00002,4489765,4641,AFN,Principal,Principal,67302,94918,-27616,Break
2023-01-04,00006,2656464,4743,ALL,Principal,Principal,98604,41921,56683,Break
2023-01-20,00004,3456338,2070,ISO-4217,Principal,Principal,112232,117727,-5495,Break
2023-01-07,00005,9825963,6271,ALL,Deferred Costs,Principal,102389,74322,28067,Break
2023-01-29,00006,9581671,4041,USD,Deferred Costs,Deferred Costs,53713,63161,-9448,Break
2023-01-03,00002,5696142,4524,ALL,Deferred Costs,Deferred Costs,37801,62932,-25131,Break
2023-01-04,00005,7176561,2322,EUR,Principal,Principal,113420,100330,13090,Break
2023-01-19,00003,2908350,3971,ISO-4217,Deferred Costs,Deferred Costs,66803,61481,5322,Break
2023-01-18,00006,4719779,2382,AFN,Principal,Principal,53010,81415,-28405,Break
2023-01-19,00003,6866055,6092,INR,Principal,Principal,115396,44820,70576,Break
2023-01-06,00001,2864490,4458,ALL,Principal,Deferred Costs,43435,35375,8060,Break
2023-01-18,00001,7123802,5115,INR,Principal,Principal,102456,51594,50862,Break
2023-01-06,00006,7863919,6121,ALL,Principal,Principal,56233,90324,-34091,Break
2023-01-11,00001,2891268,2329,AFN,Deferred Costs,Principal,69616,31424,38192,Break
2023-01-16,00002,8213505,1582,ISO-4217,Principal,Principal,104542,69651,34891,Break
2023-01-19,00002,8554017,5419,ISO-4217,Principal,Principal,94404,86358,8046,Break
2023-01-06,00004,6582166,4805,ALL,Deferred Costs,Deferred Costs,87002,50850,36152,Break
2023-01-23,00003,8302328,5513,USD,Deferred Costs,Deferred Costs,74836,97935,-23099,Break
2023-01-08,00005,5068901,5259,INR,Deferred Costs,Deferred Costs,61933,82386,-20453,Break
2023-01-02,00001,1859107,4667,AFN,Principal,Deferred Costs,65574,70565,-4991,Break
2023-01-13,00003,4904854,3163,EUR,Deferred Costs,Principal,80421,119368,-38947,Break
2023-01-01,00004,9734591,4913,ISO-4217,Deferred Costs,Deferred Costs,98182,54587,43595,Break
2023-01-09,00002,7938217,2187,ALL,Deferred Costs,Deferred Costs,60211,45970,14241,Break
2023-01-30,00003,6830509,4779,ALL,Principal,Principal,39596,47236,-7640,Break
2023-01-10,00003,3090690,2051,INR,Deferred Costs,Principal,70536,88507,-17971,Break
2023-01-02,00005,4421579,4752,AFN,Principal,Deferred Costs,52346,88783,-36437,Break
2023-01-19,00001,1446425,5453,INR,Principal,Principal,50668,104125,-53457,Break
2023-01-19,00005,9779575,4369,ALL,Deferred Costs,Principal,74122,38370,35752,Break
2023-01-23,00001,7614638,2856,AFN,Deferred Costs,Principal,59251,95374,-36123,Break
2023-01-25,00001,8671908,2513,INR,Deferred Costs,Deferred Costs,33841,36610,-2769,Break
2023-01-03,00004,3262143,2402,ISO-4217,Deferred Costs,Deferred Costs,33088,68707,-35619,Break
2023-01-02,00001,8761524,6791,EUR,Deferred Costs,Deferred Costs,42734,110928,-68194,Break
2023-01-14,00005,1493974,1952,ISO-4217,Principal,Principal,34276,60636,-26360,Break
2023-01-06,00006,5756278,5632,AFN,Principal,Deferred Costs,89515,50337,39178,Break
2023-01-17,00001,8462884,6016,AFN,Deferred Costs,Deferred Costs,81272,45442,35830,Break
2023-01-04,00006,7761956,6974,AFN,Deferred Costs,Principal,66369,118698,-52329,Break
2023-01-23,00003,6661118,5144,EUR,Deferred Costs,Deferred Costs,42076,112349,-70273,Break
2023-01-09,00004,3955820,1768,ALL,Deferred Costs,Deferred Costs,98701,47874,50827,Break
2023-01-21,00001,3219858,1942,INR,Principal,Principal,34576,86885,-52309,Break
2023-01-17,00001,4432837,3943,INR,Deferred Costs,Principal,36131,39002,-2871,Break
2023-01-24,00004,3932213,2747,INR,Principal,Deferred Costs,83939,51708,32231,Break
2023-01-23,00004,5167017,3982,INR,Deferred Costs,Principal,75362,78042,-2680,Break
2023-01-09,00004,5141110,2732,AFN,Principal,Deferred Costs,97431,117293,-19862,Break
2023-01-11,00001,1713017,5738,INR,Principal,Deferred Costs,56728,65084,-8356,Break
2023-01-11,00005,4341398,5944,EUR,Deferred Costs,Deferred Costs,75509,107865,-32356,Break
2023-01-17,00006,4628268,6713,ISO-4217,Principal,Deferred Costs,30516,60988,-30472,Break
2023-01-28,00006,3233942,5430,USD,Deferred Costs,Principal,32393,105503,-73110,Break
2023-01-02,00004,9269997,4013,ISO-4217,Principal,Deferred Costs,117952,92306,25646,Break
2023-01-17,00006,2886867,5064,USD,Deferred Costs,Principal,70048,104328,-34280,Break
2023-01-01,00003,9880605,2047,INR,Deferred Costs,Principal,57199,80366,-23167,Break
2023-01-26,00002,1936147,5639,ALL,Principal,Deferred Costs,91981,86601,5380,Break
2023-01-15,00004,1273258,6826,EUR,Deferred Costs,Principal,65916,103257,-37341,Break
2023-01-09,00005,6462838,1719,AFN,Principal,Deferred Costs,65320,46543,18777,Break
2023-01-29,00003,7081166,1068,ISO-4217,Principal,Principal,82486,72430,10056,Break
2023-01-11,00002,3988997,3278,ISO-4217,Deferred Costs,Principal,87929,91894,-3965,Break
2023-01-28,00001,7714099,6973,ALL,Deferred Costs,Principal,52942,96785,-43843,Break
2023-01-20,00006,2983767,4521,INR,Principal,Deferred Costs,82353,118112,-35759,Break
2023-01-14,00003,5543634,1698,ALL,Deferred Costs,Principal,75477,35140,40337,Break
2023-01-03,00006,9059419,6909,USD,Principal,Principal,117609,68226,49383,Break
2023-01-25,00004,6816576,2740,INR,Deferred Costs,Principal,47627,30941,16686,Break
2023-01-08,00006,9006108,1175,EUR,Principal,Principal,95256,42362,52894,Break
2023-01-17,00001,4397226,3420,USD,Principal,Principal,82199,61003,21196,Break
2023-01-30,00003,6827013,5028,AFN,Principal,Principal,37890,31919,5971,Break
2023-01-15,00005,7559470,2350,ISO-4217,Deferred Costs,Deferred Costs,82356,37921,44435,Break
2023-01-04,00005,8094775,3827,INR,Principal,Principal,76261,80614,-4353,Break
2023-01-21,00003,9746747,2758,EUR,Principal,Deferred Costs,73692,78959,-5267,Break
2023-01-21,00006,3699899,6812,AFN,Deferred Costs,Principal,40122,92073,-51951,Break
2023-01-16,00004,3124518,3606,AFN,Deferred Costs,Principal,72316,76442,-4126,Break
2023-01-10,00004,5226805,5494,ALL,Deferred Costs,Principal,82784,73438,9346,Break
2023-01-19,00001,2230098,6629,AFN,Deferred Costs,Principal,60925,113640,-52715,Break
2023-01-11,00001,7843537,4952,ALL,Deferred Costs,Principal,48066,109724,-61658,Break
2023-01-17,00006,3827393,6236,INR,Principal,Deferred Costs,107351,47110,60241,Break
2023-01-30,00003,9620384,5949,INR,Principal,Deferred Costs,119522,54342,65180,Break
2023-01-30,00006,4300401,1308,INR,Deferred Costs,Deferred Costs,77734,68591,9143,Break
2023-01-01,00005,9464893,3118,ALL,Deferred Costs,Deferred Costs,31640,73565,-41925,Break
2023-01-24,00006,8673898,4878,AFN,Deferred Costs,Deferred Costs,87617,111918,-24301,Break
2023-01-25,00006,6283964,4180,AFN,Principal,Deferred Costs,109016,88650,20366,Break
2023-01-04,00001,9531444,2848,USD,Deferred Costs,Deferred Costs,108678,93874,14804,Break
2023-01-14,00001,1584336,3395,EUR,Principal,Deferred Costs,103904,53649,50255,Break
2023-01-13,00004,9368786,6914,INR,Deferred Costs,Deferred Costs,114530,97254,17276,Break
2023-01-23,00002,1738036,4749,ALL,Deferred Costs,Deferred Costs,74193,39663,34530,Break
2023-01-17,00006,8864839,4182,EUR,Deferred Costs,Deferred Costs,115937,115510,427,Break
2023-01-17,00001,8980615,6940,ALL,Principal,Deferred Costs,48591,36038,12553,Break
2023-01-02,00002,1443579,3979,ISO-4217,Principal,Principal,92118,36112,56006,Break
2023-01-10,00003,9749310,4097,AFN,Principal,Principal,51182,92936,-41754,Break
2023-01-03,00004,1236946,4382,ISO-4217,Principal,Deferred Costs,81513,93720,-12207,Break
2023-01-04,00001,7415922,1230,EUR,Deferred Costs,Principal,45604,58325,-12721,Break
2023-01-11,00002,7940701,6381,INR,Principal,Deferred Costs,45675,111613,-65938,Break
2023-01-04,00006,6246029,4815,ALL,Principal,Principal,39540,97934,-58394,Break
2023-01-11,00003,6934884,6277,USD,Deferred Costs,Principal,93245,103306,-10061,Break
2023-01-27,00003,2676681,5428,AFN,Deferred Costs,Deferred Costs,73996,61214,12782,Break
2023-01-11,00005,7871960,5984,USD,Principal,Principal,74784,63042,11742,Break
2023-01-09,00001,9257429,1646,INR,Principal,Deferred Costs,78321,81927,-3606,Break
2023-01-05,00002,6176665,2492,EUR,Principal,Principal,93059,111095,-18036,Break
2023-01-13,00001,5024076,6838,ISO-4217,Principal,Principal,108771,82302,26469,Break
2023-01-07,00001,8690058,1609,ALL,Principal,Deferred Costs,96023,80227,15796,Break
2023-01-18,00004,8861891,1473,USD,Deferred Costs,Deferred Costs,59875,65569,-5694,Break
2023-01-23,00003,5013396,2969,EUR,Principal,Deferred Costs,96009,72367,23642,Break
2023-01-18,00006,4522921,4183,AFN,Principal,Principal,40191,114443,-74252,Break
2023-01-02,00002,7425084,5459,ALL,Deferred Costs,Principal,118907,96833,22074,Break
2023-01-01,00001,6653568,1172,USD,Principal,Deferred Costs,61334,77633,-16299,Break
2023-01-12,00005,5250884,6341,ISO-4217,Deferred Costs,Deferred Costs,47260,97408,-50148,Break
2023-01-18,00004,2229649,2593,AFN,Deferred Costs,Deferred Costs,62730,95318,-32588,Break
2023-01-08,00005,8515726,5662,INR,Deferred Costs,Deferred Costs,47325,62506,-15181,Break
2023-01-08,00001,9719346,1689,ISO-4217,Principal,Deferred Costs,33728,63848,-30120,Break
2023-01-30,00006,2709858,5830,AFN,Principal,Deferred Costs,53856,92826,-38970,Break
2023-01-19,00004,3182670,5369,USD,Principal,Principal,37389,91266,-53877,Break
2023-01-26,00002,4274120,3036,INR,Deferred Costs,Principal,54567,103349,-48782,Break
2023-01-05,00002,2832264,2876,INR,Deferred Costs,Deferred Costs,57654,96122,-38468,Break
2023-01-20,00004,1153676,5407,AFN,Deferred Costs,Deferred Costs,85700,105043,-19343,Break
2023-01-14,00005,3350843,5196,USD,Deferred Costs,Deferred Costs,118295,74768,43527,Break
2023-01-05,00001,7493754,1503,AFN,Principal,Deferred Costs,117174,83315,33859,Break
